51300009509,ebb,203,269
51300022650,cbd,249,80
51300101319,egf,249,124
51300120254,fdf,190,112
51300123576,abe,71,127
51300127280,bfg,250,175
51300142851,aac,285,89
51300178809,ebe,181,186
51300183547,fde,234,197
51300215013,daf,275,192
51300225313,ebe,266,219
51300294500,gge,210,282
51300345062,egb,233,119
51300380385,ade,115,147
51300426011,fbb,34,112
51300460971,caa,236,158
51300529531,ebd,131,223
51300541435,cfe,226,193
51300575660,gga,105,111
51300605948,dgd,14,205
51300608440,egd,187,195
51300728685,gba,18,102
51300758506,dee,119,223
51300793254,cfg,124,85
51300809836,fab,208,51
51300810836,ede,115,295
51300824380,fbg,91,14
51300873837,cbc,229,10
51300902155,cca,223,121
51300919346,aff,269,151
51300979454,dge,41,192
51301021362,egg,25,244
51301088410,aec,206,250
51301211987,acf,100,30
51301236882,dda,77,186
51301240785,efb,229,20
51301242468,gdf,47,141
51301263355,eae,291,89
51301341106,bfd,38,23
51301341556,ece,27,225
51301348247,dfc,112,233
51301422058,ddd,281,67
51301427652,agb,170,259
51301483239,gfe,44,277
51301502894,afe,52,162
51301507761,fba,234,64
51301539425,cdg,110,187
51301556667,efb,233,23
51301559231,bgd,49,152
51301563100,baf,80,249
51301579058,fcc,95,118
51301590793,fdc,41,227
51301602992,acd,28,224
51301607456,bgc,41,244
51301616045,dfd,14,5
51301622725,abg,280,23
51301624369,ffd,217,286
51301630009,gac,248,7
51301636332,ecc,43,274
51301647949,fcd,19,39
51301669500,ace,38,165
51301675460,cgg,15,227
51301703943,gfg,175,64
51301710719,ege,99,122
51301750823,dfa,26,230
51301761027,aee,299,275
51301780738,fbc,212,209
51301782902,gbd,169,104
51301787321,ffa,64,219
51301790454,bde,239,131
51301795216,gge,138,290
51301800003,cfb,208,178
51301809465,bbd,59,157
51301816635,bbg,55,169
51301829878,abb,220,253
51301901650,beb,2,233
51301946122,aef,183,5
51301947056,cca,194,101
51301950508,bgf,38,295
51302005997,edf,277,15
51302051009,fbg,179,15
51302064201,bfb,75,196
51302079012,bgf,28,351
51302099060,aed,292,109
51302133487,dee,135,207
51302135652,cce,163,100
51302143820,bff,39,225
51302180625,dce,14,145
51302191336,gdb,293,134
51302209106,fga,121,5
51302226877,cga,290,203
51302229129,ccf,247,114
51302298951,deg,235,17
51302325977,bga,139,234
51302388701,gcb,78,229
51302394920,abe,179,102
51302424205,gaa,164,85
51302462053,cef,13,159
51302465775,ceg,235,147
51302594532,dda,119,163
51302610762,cfa,297,6
51302626908,efd,200,130
51302641320,aeg,90,210
51302665438,adg,182,170
51302673909,ebe,69,260
